Id,Expected
cdf3f33c3ca4d5060a633a8d5b2b2b55_0,355293 15 356573 15 357848 23 359128 23 360406 30 361686 30 362963 36 364243 36 365521 40 366801 40 368078 46 369358 48 370638 48 371916 55 373196 55 374473 61 375753 61 377031 65 378311 65 379591 65 380871 65 382148 71 383428 71 384706 75 385986 75 387263 81 388543 81 389823 81 391101 85 392381 85 393658 88 394938 88 396216 93 397496 93 398773 96 400053 96 401331 100 402611 100 403888 106 405168 106 406446 108 407723 113 409003 113 410281 118 411561 118 412838 121 414118 121 415396 125 416676 125 417953 128 419233 128 420511 130 421791 130 423068 136 424348 136 425626 138 426903 141 428183 141 429458 146 430738 146 432016 148 433296 148 434573 151 435853 151 437128 156 438408 156 439686 155 440966 155 442243 158 443523 158 444801 158 446078 158 447358 158 448636 158 449916 158 451193 161 452473 161 453748 163 455028 163 456306 165 457586 165 458863 168 460143 168 461421 170 462696 173 463976 173 465253 176 466533 176 467808 181 469088 181 470366 183 471646 183 472921 190 474201 190 475476 195 476756 195 478033 198 479313 198 480588 203 481866 205 483146 205 484423 208 485703 208 486981 213 488261 213 489538 216 490818 216 492096 218 493376 218 494653 221 495933 221 497211 223 498491 223 499768 226 501048 226 502328 226 503606 228 504886 228 506163 231 507443 231 508721 233 510001 233 511281 233 512561 233 513838 238 515118 238 516396 240 517676 240 518956 240 520233 243 521513 243 522791 248 524071 248 525351 248 526631 248 527908 251 529188 251 530468 251 531748 251 533026 253 534306 253 535583 256 536863 256 538143 256 539421 255 540701 255 541981 255 543261 255 544538 258 545818 258 547096 263 548376 263 549653 266 550933 266 552213 266 553493 266 554771 268 556051 268 557328 271 558606 275 559886 275 561166 275 562446 275 563723 281 565003 281 566281 285 567561 285 568841 285 570121 285 571398 291 572678 291 573956 295 575236 295 576516 295 577793 301 579073 301 580351 303 581631 303 582911 303 584191 303 585468 308 586748 308 588026 310 589306 310 590586 310 591866 310 593146 308 594426 308 595703 311 596981 313 598261 313 599541 313 600821 313 602101 310 603381 310 604658 313 605938 313 607218 311 608498 311 609776 313 611056 313 612336 310 613616 310 614896 310 616173 311 617453 311 618733 311 620013 311 621291 310 622571 310 623851 308 625131 308 626411 308 627691 308 628968 308 630248 308 631528 308 632806 308 634086 308 635366 308 636646 308 637926 305 639206 305 640486 305 641766 305 643043 306 644323 306 645603 306 646883 306 648163 306 649443 306 650721 305 652001 305 653281 305 654561 305 655841 305 657121 305 658401 305 659681 305 660961 305 662238 308 663518 308 664798 306 666078 306 667358 306 668638 306 669918 306 671196 308 672476 308 673756 308 675036 308 676316 308 677596 308 678876 308 680156 308 681436 308 682716 308 683993 311 685273 311 686553 311 687833 311 689113 311 690391 313 691671 313 692951 313 694231 313 695511 313 696791 313 698071 313 699351 313 700631 313 701911 313 703191 310 704471 310 705751 310 707031 310 708311 310 709588 313 710868 313 712148 313 713428 313 714708 313 715988 313 717268 311 718548 311 719828 311 721108 311 722388 311 723668 311 724948 311 726228 311 727508 311 728791 308 730071 308 731351 305 732631 305 733911 305 735191 305 736471 305 737751 305 739031 303 740311 303 741591 303 742871 303 744151 300 745431 300 746711 300 747991 300 749271 300 750551 298 751831 298 753111 298 754391 298 755671 298 756951 298 758233 293 759513 293 760793 293 762073 293 763353 293 764633 293 765913 293 767193 293 768473 293 769753 293 771033 293 772313 293 773593 293 774873 293 776153 293 777433 291 778713 291 779993 291 781273 291 782553 291 783833 291 785113 291 786393 291 787673 291 788953 291 790233 291 791511 293 792791 293 794071 290 795351 290 796631 290 797911 290 799191 290 800471 290 801751 290 803033 288 804313 288 805593 288 806873 288 808156 285 809436 285 810718 283 811998 283 813281 280 814561 280 815843 278 817123 278 818408 271 819688 271 820971 268 822253 266 823533 266 824816 263 826096 263 827378 261 828658 261 829941 258 831221 258 832503 256 833783 256 835066 250 836346 250 837628 248 838908 248 840191 245 841473 243 842753 243 844036 240 845316 240 846598 235 847878 235 849161 232 850441 232 851721 232 853001 232 854283 230 855563 230 856846 227 858126 227 859408 223 860691 220 861971 220 863253 218 864533 218 865818 213 867098 213 868381 207 869661 207 870946 202 872226 202 873508 198 874788 198 876073 190 877353 190 878638 183 879926 175 881206 175 882496 162 883776 162 885068 148 886348 148 887646 127 888926 127 890221 110 891501 110 892788 100 894068 100 895346 100 896626 100 897906 97 899183 95 900463 95 901743 90 903023 90 904301 90 905581 90 906861 87 908141 87 909418 85 910698 85 911978 80 913258 80 914536 80 915816 80 917096 77 918376 72 919656 72 920938 65 922218 65 923498 60 924778 60 926061 47 927341 47 928626 35 929906 35
cdf3f33c3ca4d5060a633a8d5b2b2b55_1,
4e8bfb905b78a91391adc0bb223c4eaf_0,791783 13 793063 13 794336 25 795616 25 796888 36 798168 36 799441 45 800721 45 801993 56 803273 56 804538 73 805818 73 807091 83 808371 83 809646 90 810926 90 812201 98 813476 105 814756 105 816028 116 817308 116 818581 125 819861 125 821131 135 822411 135 823683 146 824963 146 826236 155 827516 155 828791 160 830071 160 831346 168 832626 168 833901 173 835181 173 836456 180 837736 180 839011 185 840291 185 841563 193 842843 193 844116 203 845396 203 846671 208 847951 208 849226 213 850506 213 851781 218 853061 218 854338 223 855618 223 856896 225 858173 228 859453 228 860731 230 862011 230 863288 233 864568 233 865846 235 867126 235 868406 238 869686 238 870963 241 872243 241 873521 243 874801 243 876078 246 877358 246 878638 246 879918 246 881196 248 882476 248 883756 248 885036 248 886313 253 887593 253 888871 255 890151 255 891431 255 892711 255 893991 255 895271 255 896548 261 897828 261 899111 258 900393 256 901673 256 902953 256 904233 256 905516 253 906796 253 908073 256 909353 256 910636 253 911916 253 913196 253 914476 253 915756 253 917036 253 918313 256 919593 256 920873 256 922153 256 923433 253 924713 253 925993 251 927273 251 928553 251 929833 251 931113 248 932393 248 933673 246 934953 246 936233 243 937513 243 938793 241 940073 241 941353 238 942633 238 943913 236 945193 236 946473 236 947751 235 949031 235 950308 236 951588 236 952868 233 954148 233 955426 233 956706 233 957983 233 959263 233 960543 231 961823 231 963101 230 964381 230 965661 228 966941 228 968218 228 969498 228 970778 226 972058 226 973338 223 974618 223 975896 223 977176 223 978456 220 979736 220 981016 217 982296 217 983576 217 984856 217 986136 212 987416 212 988698 210 989978 205 991258 205 992541 200 993821 200 995103 195 996383 195 997668 188 998948 188 1000233 180 1001513 180 1002798 173 1004078 173 1005361 167 1006641 167 1007926 162 1009206 162 1010488 158 1011768 158 1013053 153 1014333 153 1015616 147 1016896 147 1018178 150 1019458 150 1020743 150 1022023 150 1023306 150 1024586 150 1025871 145 1027151 145 1028433 145 1029713 145 1030998 138 1032281 135 1033561 135 1034846 127 1036126 127 1037411 120 1038691 120 1039976 112 1041256 112 1042591 52 1043871 52 1045161 37 1046441 37 1047723 30 1049003 30 1050291 12 1051571 12
4e8bfb905b78a91391adc0bb223c4eaf_1,
8395e56a6d9ba9d45c3dbc695325ded4_0,217063 33 218343 33 219616 48 220896 48 222171 60 223451 60 224726 70 226006 70 227281 80 228561 80 229836 90 231116 90 232391 100 233671 100 234948 118 236228 118 237503 136 238783 136 240061 143 241341 143 242616 155 243893 163 245173 163 246451 173 247731 173 249008 181 250288 181 251566 188 252846 188 254123 193 255403 193 256681 200 257961 200 259238 206 260518 206 261796 210 263076 210 264351 218 265631 218 266908 223 268188 223 269466 228 270746 228 272023 233 273303 233 274581 240 275861 240 277138 246 278418 246 279696 250 280976 250 282253 256 283533 256 284808 263 286086 270 287366 270 288641 278 289921 278 291196 285 292476 285 293753 291 295033 291 296311 295 297591 295 298871 300 300151 300 301431 303 302711 303 303991 305 305271 305 306551 310 307831 310 309111 313 310391 313 311673 313 312953 313 314233 316 315513 316 316796 315 318076 315 319356 318 320636 318 321918 318 323198 318 324478 318 325758 318 327038 318 328318 318 329601 315 330881 318 332161 318 333441 318 334721 318 336001 318 337281 318 338561 318 339841 318 341118 321 342398 321 343678 321 344958 321 346238 321 347518 321 348796 323 350076 323 351356 323 352636 323 353913 328 355193 328 356473 328 357753 328 359031 330 360311 330 361591 330 362871 330 364148 333 365428 333 366708 333 367988 333 369266 338 370546 338 371826 338 373106 338 374383 341 375663 341 376943 341 378221 343 379501 343 380781 343 382061 343 383338 346 384618 346 385896 348 387176 348 388456 348 389736 348 391013 351 392293 351 393573 351 394853 351 396133 353 397413 353 398693 353 399973 353 401253 353 402533 353 403813 353 405093 353 406373 353 407653 353 408933 353 410213 353 411496 350 412776 350 414056 353 415336 353 416616 353 417896 353 419176 353 420458 351 421738 351 423018 351 424298 351 425581 348 426861 348 428141 348 429421 348 430703 346 431983 346 433266 343 434546 343 435826 343 437106 343 438388 341 439668 341 440951 338 442231 338 443511 338 444791 338 446073 336 447353 336 448636 330 449916 330 451198 328 452478 328 453758 328 455038 328 456321 325 457601 325 458883 321 460163 321 461446 318 462728 316 464008 316 465291 313 466571 313 467853 308 469133 308 470418 303 471698 303 472981 298 474261 298 475546 293 476826 293 478111 288 479391 288 480673 283 481953 283 483238 278 484518 278 485801 273 487081 273 488363 268 489643 268 490926 263 492206 263 493491 255 494771 255 496053 251 497333 251 498616 245 499896 245 501181 238 502461 238 503743 233 505023 233 506308 226 507593 216 508873 216 510158 206 511438 206 512723 196 514003 196 515288 183 516568 183 517853 163 519133 163 520421 140 521701 140 522986 118 524266 118 525556 98 526836 98 528124 77 529404 77 530696 58 531976 58 533269 35 534549 35 590756 10 592036 10 593313 13 594591 17 595871 17 597153 13 598433 13 599718 10 600998 10
8395e56a6d9ba9d45c3dbc695325ded4_1,
b21960c94b0aab4c024a573c692195f8_0,427981 27 429261 27 430523 58 431803 58 433071 80 434351 80 435623 98 436903 98 438176 115 439456 115 440728 130 442008 130 443286 140 444566 140 445841 152 447121 152 448396 165 449676 165 450953 175 452233 175 453508 185 454788 185 456066 192 457346 192 458623 200 459903 200 461178 208 462456 212 463736 212 465013 220 466293 220 467571 225 468851 225 470128 230 471408 230 472688 233 473968 233 475246 237 476526 237 477803 243 479083 243 480361 245 481641 245 482921 247 484201 247 485478 253 486758 253 488038 255 489318 255 490596 257 491876 257 493153 263 494433 263 495713 265 496993 265 498271 267 499551 267 500831 270 502111 270 503388 273 504668 273 505948 275 507228 275 508508 275 509786 280 511066 280 512346 280 513626 280 514903 285 516183 285 517463 285 518743 285 520023 288 521303 288 522581 290 523861 290 525141 292 526421 292 527701 292 528981 292 530258 298 531538 298 532818 298 534098 298 535376 302 536656 302 537936 302 539216 302 540493 308 541773 308 543053 308 544333 308 545613 310 546893 310 548171 312 549451 315 550731 315 552011 315 553291 315 554571 315 555851 315 557131 317 558411 317 559688 320 560968 320 562248 323 563528 323 564808 323 566088 323 567368 325 568648 325 569928 325 571208 325 572488 325 573768 325 575046 330 576326 330 577606 330 578886 330 580166 332 581446 332 582726 332 584006 332 585286 332 586566 332 587846 335 589126 335 590406 335 591686 335 592966 335 594246 337 595526 337 596803 340 598083 340 599363 340 600643 340 601923 343 603203 343 604483 343 605763 343 607043 343 608323 343 609601 347 610881 347 612161 347 613441 347 614721 347 616001 347 617281 347 618561 347 619841 350 621121 350 622401 350 623681 350 624961 350 626241 350 627521 350 628801 350 630081 350 631361 350 632641 350 633921 350 635201 350 636483 348 637763 348 639043 348 640323 348 641603 350 642883 350 644163 350 645443 350 646723 350 648003 350 649286 347 650566 347 651846 347 653126 347 654406 347 655686 347 656966 347 658246 347 659528 345 660808 345 662088 345 663368 345 664651 342 665931 342 667211 342 668491 342 669771 342 671051 342 672333 340 673613 340 674893 340 676173 340 677456 337 678736 337 680016 337 681298 335 682578 335 683858 333 685138 333 686421 330 687701 330 688981 330 690261 330 691541 330 692821 330 694103 328 695383 328 696663 328 697943 328 699226 325 700506 325 701786 325 703066 325 704346 325 705626 325 706908 323 708188 323 709468 323 710748 323 712031 320 713311 320 714591 317 715871 317 717153 315 718433 315 719713 315 720993 315 722273 315 723553 315 724836 310 726116 310 727396 310 728678 308 729958 308 731238 305 732518 305 733801 302 735081 302 736363 300 737643 300 738926 295 740206 295 741488 293 742768 293 744051 290 745331 290 746611 287 747891 287 749173 285 750453 285 751736 280 753016 280 754298 278 755578 278 756861 272 758141 272 759423 270 760703 270 761986 265 763266 265 764548 263 765828 263 767111 257 768393 253 769673 253 770956 247 772236 247 773518 245 774798 245 776081 240 777361 240 778643 235 779923 235 781206 230 782486 230 783768 228 785048 228 786331 222 787611 222 788891 220 790171 220 791453 215 792733 215 794016 210 795296 210 796578 205 797858 205 799141 200 800421 200 801703 195 802983 195 804266 190 805546 190 806826 187 808106 187 809388 185 810668 185 811951 180 813233 175 814513 175 815796 170 817076 170 818358 165 819638 165 820921 160 822201 160 823483 155 824763 155 826043 153 827323 153 828606 145 829886 145 831166 142 832446 142 833728 138 835008 138 836291 130 837571 130 838853 123 840133 123 841416 95 842696 95 843981 77 845261 77 846551 57 847831 57 849121 37 850401 37
b21960c94b0aab4c024a573c692195f8_1,
391adc0bb223c4eaf3372eae567c94ea_0,
391adc0bb223c4eaf3372eae567c94ea_1,
